date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:44:43	7005/7005	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2015%20Jul%202021%2011:31:13%20GMT	https://ecetsolutions.in/js/mocktest2.js	/home/tejakavali/Documents/My%20Projects/Ecet%20website/ecetsolutions.in/js/mocktest2.js	(from https://ecetsolutions.in/mocktest2.html?name=mt4&year=2019&key=86F7A8E49FEC936938F6957EC1145E20)
20:44:47	60174/60174	UR-MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:10%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.5.0/js/bootstrap.min.js	/home/tejakavali/Documents/My%20Projects/Ecet%20website/maxcdn.bootstrapcdn.com/bootstrap/4.5.0/js/bootstrap.min.js	(from https://ecetsolutions.in/)
20:44:47	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	image/jpeg	date:Thu,%2015%20Jul%202021%2011:31:13%20GMT	https://ecetsolutions.in/eslogo1.2.jpg	/home/tejakavali/Documents/My%20Projects/Ecet%20website/ecetsolutions.in/eslogo1.2.jpg	(from https://ecetsolutions.in/)
20:44:47	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	image/jpeg	date:Thu,%2015%20Jul%202021%2011:31:13%20GMT	https://ecetsolutions.in/logo.jpg	/home/tejakavali/Documents/My%20Projects/Ecet%20website/ecetsolutions.in/logo.jpg	(from https://ecetsolutions.in/)
20:44:48	24148/24148	---M-Z	200	added ('OK')	image/jpeg	date:Thu,%2015%20Jul%202021%2011:31:13%20GMT	https://ecetsolutions.in/images/home7.jpg	/home/tejakavali/Documents/My%20Projects/Ecet%20website/ecetsolutions.in/images/home7.jpg	(from https://ecetsolutions.in/css/index.css)
20:44:48	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	image/png	date:Thu,%2015%20Jul%202021%2011:31:13%20GMT	https://ecetsolutions.in/images/profile.png	/home/tejakavali/Documents/My%20Projects/Ecet%20website/ecetsolutions.in/images/profile.png	(from https://ecetsolutions.in/)
20:44:48	89476/89476	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	/home/tejakavali/Documents/My%20Projects/Ecet%20website/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://ecetsolutions.in/)
20:44:48	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	image/png	date:Thu,%2015%20Jul%202021%2011:31:13%20GMT	https://ecetsolutions.in/images/insta.png	/home/tejakavali/Documents/My%20Projects/Ecet%20website/ecetsolutions.in/images/insta.png	(from https://ecetsolutions.in/)
20:44:52	51373/51373	---M--	200	added ('OK')	image/png	date:Thu,%2015%20Jul%202021%2011:31:13%20GMT	https://ecetsolutions.in/images/fade2.png	/home/tejakavali/Documents/My%20Projects/Ecet%20website/ecetsolutions.in/images/fade2.png	(from https://ecetsolutions.in/css/index.css)
20:45:48	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	image/png	date:Thu,%2015%20Jul%202021%2011:31:13%20GMT	https://ecetsolutions.in/images/question%20screen.png	/home/tejakavali/Documents/My%20Projects/Ecet%20website/ecetsolutions.in/images/question%20screen.png	(from https://ecetsolutions.in/about.html)
